Date/Time,Date/Time_clean,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CORE_ZN:Zone Air Temperature [C](TimeStep),DistrictHeatingWater:Facility [W](TimeStep),Heating_demand_W_m2,Heating_exergy_demand_W_m2,ASHP_heating_COP,ASHP_heating_exergy_efficiency
 02/22  08:00:00,02/22 08:00:00,2.1,21.999305417152684,13937.427796792615,27.27480977845913,1.83889902505174,3.6193002062663844,0.28895837471001523
 02/22  09:00:00,02/22 09:00:00,1.9,21.99998532337639,11460.239270863618,22.42708272184661,1.5273049499269709,3.56280428966907,0.2868299367247839
 02/22  10:00:00,02/22 10:00:00,1.9,21.99999988979046,9214.446475822142,18.03218488419206,1.2280091964095547,3.4455971750199326,0.2773939681603615
 02/22  11:00:00,02/22 11:00:00,1.9,21.999999999514245,7870.185009142993,15.40153622141486,1.0488594885430005,3.3374111048960504,0.2686842549330266
 02/22  12:00:00,02/22 12:00:00,1.9,21.99999999999749,7108.638351147669,13.911229649995438,0.9473681719968695,3.2633016079087245,0.2627179372227842
 02/22  13:00:00,02/22 13:00:00,1.3,21.999999999999982,4654.38348855776,9.108382560778395,0.6388057564225401,3.000990136246071,0.2476194756161554
 02/22  14:00:00,02/22 14:00:00,0.8,22.0,6830.47810275551,13.36688474120452,0.960115048326395,3.1562880059808185,0.26570924691102593
 02/22  15:00:00,02/22 15:00:00,0.2,22.0,6894.660836280204,13.492486959452455,0.9965651896190543,3.1194373577444097,0.26886398313278836
 02/22  16:00:00,02/22 16:00:00,-0.3,22.000000000000004,6383.6816802203,12.492527749941878,0.9438704686556124,3.028275459091226,0.26606851678447807
 02/22  17:00:00,02/22 17:00:00,-0.7,22.0,6435.99612663673,12.59490435741043,0.9686746702124907,3.004278793648757,0.26797746243425746
 02/22  18:00:00,02/22 18:00:00,-1.2,22.0,5079.785856876181,9.94087251834869,0.7813933336462466,2.8420166790212757,0.25825434533014413
 02/22  19:00:00,02/22 19:00:00,-1.7,21.999999999999996,5726.720629897947,11.206889686688742,0.899892548109514,2.8487862426627535,0.2636312479623683
 02/22  20:00:00,02/22 20:00:00,-2.1,22.0,6438.063422233548,12.598949945662522,1.0287470563796957,2.896030208931011,0.27187585643349976
 02/22  21:00:00,02/22 21:00:00,-2.6,22.0,6558.485956624239,12.834610482630605,1.0697320612322991,2.867519797343638,0.27399239791884733
 02/22  22:00:00,02/22 22:00:00,-2.7,22.0,6815.785016999068,13.338131148726161,1.1162183275403557,2.884608182979574,0.2765895240454514
 02/23  07:00:00,02/23 07:00:00,-3.7,21.977119819128276,15525.716164711208,30.38300619317262,2.64343070526874,3.0361724404655916,0.3012721395880909
 02/23  08:00:00,02/23 08:00:00,-3.1,21.99903579515547,17217.07923018036,33.69291434477565,2.865195411885239,3.031172408244959,0.2946960657075261
 02/23  09:00:00,02/23 09:00:00,-2.6,21.99998951113873,15154.931820953141,29.657400823783053,2.4718677795011983,3.1717979845745594,0.30306627222340515
 02/23  10:00:00,02/23 10:00:00,-2.1,21.999999916877325,12597.880405029597,24.653386311212518,2.013032723084177,3.2448604504481398,0.30462362279653815
 02/23  11:00:00,02/23 11:00:00,-1.5,21.99999999923385,11304.728765190754,22.12275687904257,1.761425670479082,3.2745986452131173,0.30084721146149673
 02/23  12:00:00,02/23 12:00:00,-1.0,21.99999999997192,10653.08371597752,20.847521949075382,1.624573961809907,3.295039439994439,0.2972175038903814
 02/23  13:00:00,02/23 13:00:00,-1.3,21.99999999999985,7450.772948038042,14.580768978548027,1.1510483388113393,3.058862712254706,0.278981745458322
 02/23  14:00:00,02/23 14:00:00,-1.5,22.0,9635.563544852048,18.856288737479545,1.5013477395587653,3.2024961221344874,0.29422293613564765
 02/23  15:00:00,02/23 15:00:00,-1.8,22.0,9222.547697505248,18.048038546977,1.4553390391938101,3.152370550047614,0.2927792653655255
 02/23  16:00:00,02/23 16:00:00,-1.9,22.0,8748.842127430979,17.12102177579448,1.3863880075944026,3.1128761693401845,0.2901518247476137
 02/23  17:00:00,02/23 17:00:00,-1.9,22.0,8605.432976460139,16.840377644736083,1.3636626315744276,3.1028502732124656,0.2892173089178998
 02/23  18:00:00,02/23 18:00:00,-2.0,21.999999999999996,6748.150473665815,13.20577392106813,1.073822036610656,2.9357834269615735,0.2746264075221795
 02/23  19:00:00,02/23 19:00:00,-2.5,22.0,7214.471233536858,14.11833900887839,1.1719441155938362,2.9390327450529683,0.27984296227140687
 02/23  20:00:00,02/23 20:00:00,-3.1,22.0,7839.849204615328,15.342170654824516,1.3047212720179429,2.939938374217972,0.28582612785336525
 02/23  21:00:00,02/23 21:00:00,-3.6,22.0,7890.228872421167,15.440761002781148,1.3392630244661956,2.897527193109652,0.2865460583798398
 02/23  22:00:00,02/23 22:00:00,-3.6,22.0,8062.723233080063,15.778323352407169,1.3685416832851898,2.9105677701778223,0.28783568422589534
 02/24  07:00:00,02/24 07:00:00,-3.4,21.977003005767195,17156.900124232823,33.575147014154254,2.887016769118268,2.9995374067141554,0.2946286931559363
 02/24  08:00:00,02/24 08:00:00,-3.1,21.998979449844335,18690.92843216714,36.57715935844841,3.110460936651777,2.9349460420128577,0.2853407642839588
 02/24  09:00:00,02/24 09:00:00,-2.8,21.99999481969424,15173.251602612687,29.693251668517977,2.4949771319121385,3.149845374944626,0.30307468267201426
 02/24  10:00:00,02/24 10:00:00,-2.6,21.9999999912918,11726.178042854493,22.947510847073374,1.912616522631983,3.1823846716199795,0.3040778334242303
 02/24  11:00:00,02/24 11:00:00,-2.3,21.999999999990816,9816.939600487014,19.211232094886526,1.581680297833577,3.1416214546562,0.29703215972637337
 02/24  12:00:00,02/24 12:00:00,-2.1,21.99999999999997,8984.57173168577,17.58233215594084,1.4356571402953577,3.1112992679786946,0.29208505853772304
 02/24  13:00:00,02/24 13:00:00,-1.5,21.999999999999996,5359.432843077737,10.48812689447698,0.8350702423181745,2.8303474488038245,0.26003251991951354
 02/24  14:00:00,02/24 14:00:00,-0.9,22.0,7378.79530125013,14.439912526908278,1.1203591288029784,3.083741502910882,0.27712721679918434
 02/24  15:00:00,02/24 15:00:00,-0.3,22.0,6329.864339560865,12.387210057849051,0.9359132112147517,3.0223370373621767,0.26554675874666633
 02/24  16:00:00,02/24 16:00:00,-0.9,21.999999999999996,6348.9990402847525,12.424655656134545,0.9640000492138934,2.979803007861246,0.2677865551956707
