,T_b,T_b_f_in,T_b_f_out,T_tank_w,COP,g_conv,Q_b_unit,Q_ref_cond,Q_ref_evap,Q_env_loss,Q_use_loss,total_loss,Q_ref,is_on,E_cmp,E_pmp,Xc_g,Xg,Xb,X_ref_tank,dV_w_serv,dV_w_sup_tank,dV_w_sup_mix
2233,288.8308918570018,288.8308918570018,288.8308918570018,64.22382765673329,0.0,32.82085981180027,0.0,0.0,0.0,28.961063834248908,0.0,28.961063834248908,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2234,288.83169840372136,288.83169840372136,288.83169840372136,64.21556924213746,0.0,32.83291558018931,0.0,0.0,0.0,28.95733978850131,0.0,28.95733978850131,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2235,288.8324993827341,288.8324993827341,288.8324993827341,64.20731188947478,0.0,32.8449409132071,0.0,0.0,0.0,28.953616221621367,0.0,28.953616221621367,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2236,288.83329485836583,288.83329485836583,288.83329485836583,64.1990555986087,0.0,32.85693602068658,0.0,0.0,0.0,28.9498931335475,0.0,28.9498931335475,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2237,288.83408489391763,288.83408489391763,288.83408489391763,64.19080036940268,0.0,32.86890111003905,0.0,0.0,0.0,28.946170524218147,0.0,28.946170524218147,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2238,288.8348695516869,288.8348695516869,288.8348695516869,64.18254620172021,0.0,32.880836386292714,0.0,0.0,0.0,28.942448393571745,0.0,28.942448393571745,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2239,288.8356488929877,288.8356488929877,288.8356488929877,64.17429309542479,0.0,32.89274205213047,0.0,0.0,0.0,28.93872674154673,0.0,28.93872674154673,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2240,288.83642297817084,288.83642297817084,288.83642297817084,64.16604105037993,0.0,32.90461830792688,0.0,0.0,0.0,28.93500556808157,0.0,28.93500556808157,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2241,288.8371918666418,288.8371918666418,288.8371918666418,64.15779006644918,0.0,32.91646535178434,0.0,0.0,0.0,28.93128487311473,0.0,28.93128487311473,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2242,288.8379556168792,288.8379556168792,288.8379556168792,64.14954014349608,0.0,32.92828337956876,0.0,0.0,0.0,28.927564656584668,0.0,28.927564656584668,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
