Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATTIC:Zone Air Temperature [C](Hourly),CORE_ZN:Zone Air Temperature [C](Hourly),PERIMETER_ZN_1:Zone Air Temperature [C](Hourly),PERIMETER_ZN_2:Zone Air Temperature [C](Hourly),PERIMETER_ZN_3:Zone Air Temperature [C](Hourly),PERIMETER_ZN_4:Zone Air Temperature [C](Hourly),ExteriorLights:Electricity [J](Hourly),Fans:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly) 
 01/02  22:00:00,5.708333333333333,4.659491931242807,21.0,21.0,20.999999999999996,21.0,21.0,8290800.0,0.0,7920077.218560001,3960038.6092800004,20170915.82784,0.0,22324495.66114162 
 01/02  23:00:00,5.208333333333333,4.442394710260165,19.329712696425606,18.6698878643905,18.587911589206993,18.696700125350826,18.57104837821656,8290800.0,0.0,7920077.218560001,1980019.3046400002,18190896.5232,0.0,0.0 
 01/02  24:00:00,4.708333333333333,4.2108588601765256,18.586447642086807,17.764880752505874,17.6688561958504,17.801343540151965,17.647886453111536,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/03  01:00:00,4.325,3.8901548927185665,18.307190992210852,17.40972552585775,17.29515053750306,17.453171467511687,17.2735976962614,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/03  02:00:00,3.966666666666667,3.4918576411123112,18.077410147431916,17.128681809962554,17.004246271435402,17.180494184447408,16.983456439956196,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/03  03:00:00,3.625,2.9528777691530053,17.87822289429271,16.890085841637163,16.76048776253498,16.950876445758393,16.740729698660644,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/03  04:00:00,3.3249999999999997,2.460734200813179,17.70150584135565,16.681196820414225,16.549828686106014,16.75063923121274,16.5297560938813,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/03  05:00:00,3.0833333333333335,1.9391979721149897,17.540703404566834,16.492133818273114,16.35951567533238,16.569914659909205,16.339899376087747,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/03  06:00:00,2.8249999999999997,1.4601946317202874,17.413518137157578,16.338473618177797,16.2042381672009,16.42420352001236,16.18230972454623,8290800.0,0.0,7920077.218560001,1980019.3046400002,18190896.5232,0.0,0.0 
 01/03  07:00:00,2.6999999999999997,0.9807399937554266,20.993228058839733,20.988705541731356,20.98807432470761,20.98910803187699,20.9879697698489,8290800.0,0.0,7920077.218560001,1980019.3046400002,18190896.5232,0.0,61944222.61575322 
 01/03  08:00:00,2.6999999999999997,0.6011341757508127,21.0,21.0,21.0,21.0,21.0,5527200.0,0.0,7920077.218560001,5940057.91392,19387335.13248,0.0,41298211.589053646 
 01/03  09:00:00,2.6999999999999997,0.7189022129198067,21.0,21.0,21.0,21.0,21.0,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,37008619.916854896 
 01/03  10:00:00,3.108333333333334,2.210373345417041,21.0,21.0,21.0,21.0,21.0,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,29224559.12688648 
 01/03  11:00:00,3.8666666666666667,5.67438400929113,21.000000000000004,21.000000000000004,21.000000000000004,21.000000000000004,21.000000000000004,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,22652268.365807284 
 01/03  12:00:00,4.608333333333334,10.231905133739078,21.000000000000004,21.000000000000004,21.000000000000004,21.000000000000004,21.000000000000004,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,17521518.690436423 
 01/03  13:00:00,5.016666666666667,14.764810871557549,21.0,21.197149537817506,21.0,21.0,21.0,0.0,0.0,15840154.437120002,17820173.74176,33660328.17888,0.0,8753968.357320176 
 01/03  14:00:00,5.158333333333333,17.32560103570443,21.0,21.43310833966862,21.0,21.0,21.0,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,11272759.503162142 
 01/03  15:00:00,5.316666666666667,16.823266749482112,21.0,21.54776489433043,21.0,21.0,21.0,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,9434889.963129278 
 01/03  16:00:00,4.816666666666667,14.053351905835742,21.000000000000007,21.255360962301477,21.000000000000007,21.000000000000007,21.000000000000007,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,9426929.792108776 
 01/03  17:00:00,3.8166666666666664,9.90167398920814,21.000000000000004,21.000000517212285,21.000000000000004,21.000000000000004,21.000000000000004,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,13132556.759887442 
 01/03  18:00:00,2.8166666666666664,5.672734030686615,21.000000000000004,21.000000000000004,21.000000000000004,21.000000000000004,21.000000000000004,5527200.0,0.0,9900096.523200002,9900096.523200002,25327393.046400003,0.0,13210874.918126378 
 01/03  19:00:00,1.9916666666666665,2.513817307218917,21.0,21.0,21.0,21.0,21.0,8290800.0,0.0,7920077.218560001,5940057.91392,22150935.13248,0.0,15423071.859712243 
 01/03  20:00:00,1.2333333333333334,0.6082629254796414,21.0,21.0,21.0,21.0,21.0,8290800.0,0.0,7920077.218560001,5940057.91392,22150935.13248,0.0,17463061.941354427 
 01/03  21:00:00,0.4916666666666667,-0.7565326316831215,21.0,21.0,21.0,21.0,21.0,8290800.0,0.0,7920077.218560001,3960038.6092800004,20170915.82784,0.0,18197635.602054898 
 01/03  22:00:00,-0.033333333333333326,-1.8242283002626969,21.0,21.0,21.0,21.0,21.0,8290800.0,0.0,7920077.218560001,3960038.6092800004,20170915.82784,0.0,19189070.69715388 
 01/03  23:00:00,-0.43333333333333335,-2.57715693449044,19.19023411817197,18.716303746231848,18.393973135044455,18.51365849952951,18.473751430869196,8290800.0,0.0,7920077.218560001,1980019.3046400002,18190896.5232,0.0,0.0 
 01/03  24:00:00,-0.8333333333333334,-3.186469100437552,18.43178037897275,17.819000321501488,17.423665272297317,17.570227850105386,17.51856382525684,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/04  01:00:00,-1.2916666666666667,-3.719489696421198,18.132347132630162,17.4357783285514,17.015291597253157,17.18892836611506,17.11749296559038,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/04  02:00:00,-1.8499999999999999,-4.312012571554837,17.849441839854126,17.08538615559112,16.658421759036298,16.852200353006204,16.762966190592483,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/04  03:00:00,-2.391666666666667,-4.953118666181166,17.589785664267136,16.765839857086174,16.3408372488398,16.55124052741564,16.444566446348187,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/04  04:00:00,-2.8333333333333335,-5.610032485492192,17.351284592767044,16.474828435600873,16.05520205263142,16.279907451140236,16.156965612629403,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/04  05:00:00,-3.2916666666666665,-6.290814842001912,17.123339533100477,16.1989554989708,15.786101558115798,16.02386303590509,15.885290293013902,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/04  06:00:00,-3.733333333333333,-7.022294288357883,16.92648818925105,15.95615828647704,15.549704418570883,15.8003678825188,15.646950238911083,8290800.0,0.0,7920077.218560001,1980019.3046400002,18190896.5232,0.0,0.0 
 01/04  07:00:00,-3.783333333333333,-7.55435947058031,20.991309079052304,20.986780053610996,20.9847591013275,20.986062043916093,20.985286361516426,8290800.0,0.0,7920077.218560001,1980019.3046400002,18190896.5232,0.0,69923587.60836068 
 01/04  08:00:00,-3.5833333333333335,-7.3770964353212785,21.000000000000004,20.999999999999996,20.999999999999996,20.999999999999996,20.999999999999996,5527200.0,0.0,7920077.218560001,5940057.91392,19387335.13248,0.0,47105778.93031679 
 01/04  09:00:00,-3.3833333333333333,-6.027051680671242,21.0,21.0,21.0,21.0,21.0,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,47573145.773195595 
 01/04  10:00:00,-2.3666666666666667,-2.8700982712280165,21.000000000000004,21.000000000000004,21.000000000000004,21.000000000000004,21.000000000000004,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,35657987.53158669 
 01/04  11:00:00,-0.7083333333333335,2.752611636607393,21.0,21.0,21.0,21.0,21.0,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,26610170.161801115 
 01/04  12:00:00,0.9333333333333332,8.847231537135567,21.000000000000004,21.086948548812046,21.000000000000004,21.000000000000004,21.000000000000004,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,20328546.237539433 
 01/04  13:00:00,2.3000000000000003,13.837653961304985,21.0,22.229216610114136,21.0,21.0,21.0,0.0,0.0,15840154.437120002,17820173.74176,33660328.17888,0.0,12189270.614833154 
 01/04  14:00:00,3.5583333333333336,16.445722175577632,21.0,22.242360000325863,21.0,21.0,21.0,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,14545996.8343119 
 01/04  15:00:00,4.8,16.60513495919655,21.0,22.039124126275283,21.0,21.0,21.0,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,11136160.717159607 
 01/04  16:00:00,4.891666666666666,14.344806531827182,21.000000000000007,21.501248099876975,21.000000000000007,21.000000000000007,21.000000000000007,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,10618853.77511226 
 01/04  17:00:00,4.133333333333334,10.08289244759157,21.000000000000004,21.00288598415076,21.000000000000004,21.000000000000004,21.000000000000004,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,13962088.493027426 
 01/04  18:00:00,3.391666666666667,5.702632778599111,21.0,21.0,21.0,21.0,21.0,5527200.0,0.0,9900096.523200002,9900096.523200002,25327393.046400003,0.0,13753335.033025775 
 01/04  19:00:00,2.6916666666666664,2.7315305443307203,21.0,21.0,21.0,21.0,21.0,8290800.0,0.0,7920077.218560001,5940057.91392,22150935.13248,0.0,15591959.788501551 
 01/04  20:00:00,2.0500000000000003,1.1195793647914778,21.0,21.0,21.0,21.0,21.0,8290800.0,0.0,7920077.218560001,5940057.91392,22150935.13248,0.0,17355902.131410085 
 01/04  21:00:00,1.3916666666666666,0.3530109591486574,21.0,21.0,21.0,21.0,21.0,8290800.0,0.0,7920077.218560001,3960038.6092800004,20170915.82784,0.0,17940728.481080763 
 01/04  22:00:00,0.9833333333333334,-0.08068409607715159,21.0,21.0,21.0,21.0,21.0,8290800.0,0.0,7920077.218560001,3960038.6092800004,20170915.82784,0.0,18737490.98341937 
 01/04  23:00:00,0.8416666666666667,-0.46500239254421416,19.234793212641247,19.007374909565105,18.50459332202936,18.530262730350966,18.518072057901154,8290800.0,0.0,7920077.218560001,1980019.3046400002,18190896.5232,0.0,0.0 
 01/04  24:00:00,0.6833333333333335,-0.8049952932074116,18.511664085686302,18.216685472597728,17.596108565792843,17.61982178465127,17.615420592230368,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/05  01:00:00,0.5416666666666666,-1.2837956630166492,18.24480126133859,17.87566087205668,17.22418677390754,17.263167088012224,17.250319408677417,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/05  02:00:00,0.5,-2.102233984499851,18.013073270766075,17.570546372144044,16.916518808802326,16.969444629362116,16.944272403975614,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
